Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,MCC,ROC_AUC,PR_AUC,TN,FP,FN,TP,Dataset,Repeat,Seed,Fold,Train_Sites,Test_Sites
0.7857142857142857,0.7708333333333333,0.7777777777777778,0.875,0.6666666666666666,0.8235294117647058,0.5594309277855158,0.8958333333333334,0.9381313131313131,4,2,1,7,EXTENDED,2,22,2,44,14
0.7142857142857143,0.7291666666666667,0.8333333333333334,0.625,0.8333333333333334,0.7142857142857143,0.4583333333333333,0.875,0.9159722222222222,5,1,3,5,EXTENDED,2,22,3,44,14
0.7333333333333333,0.7321428571428572,0.75,0.75,0.7142857142857143,0.75,0.4642857142857143,0.875,0.9105519480519481,5,2,2,6,EXTENDED,2,22,4,43,15
0.7857142857142857,0.8125,1.0,0.625,1.0,0.7692307692307693,0.6454972243679028,0.9166666666666666,0.9472222222222222,6,0,3,5,EXTENDED,3,33,1,44,14
0.7333333333333333,0.7410714285714286,0.8333333333333334,0.625,0.8571428571428571,0.7142857142857143,0.49099025303098287,0.8571428571428571,0.8897186147186147,6,1,3,5,EXTENDED,3,33,2,43,15
0.6666666666666666,0.6428571428571428,0.6153846153846154,1.0,0.2857142857142857,0.7619047619047619,0.4193139346887673,0.9196428571428571,0.932426948051948,2,5,0,8,EXTENDED,3,33,3,43,15
0.9285714285714286,0.9166666666666667,0.8888888888888888,1.0,0.8333333333333334,0.9411764705882353,0.8606629658238705,0.9791666666666666,0.9861111111111112,5,1,0,8,EXTENDED,3,33,4,44,14
0.8666666666666667,0.8660714285714286,0.875,0.875,0.8571428571428571,0.875,0.7321428571428571,0.9642857142857143,0.975,6,1,1,7,EXTENDED,4,44,1,43,15
0.6428571428571429,0.625,0.6666666666666666,0.75,0.5,0.7058823529411765,0.25819888974716115,0.75,0.8197781385281385,3,3,2,6,EXTENDED,4,44,2,44,14
0.8,0.7946428571428572,0.7777777777777778,0.875,0.7142857142857143,0.8235294117647058,0.600099198148979,0.875,0.9126984126984127,5,2,1,7,EXTENDED,4,44,3,43,15
0.9285714285714286,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8660254037844387,0.9791666666666667,0.9861111111111112,6,0,1,7,EXTENDED,4,44,4,44,14
0.6666666666666666,0.6607142857142857,0.6666666666666666,0.75,0.5714285714285714,0.7058823529411765,0.32732683535398854,0.875,0.9105519480519481,4,3,2,6,EXTENDED,5,55,1,43,15
0.7142857142857143,0.7083333333333333,0.75,0.75,0.6666666666666666,0.75,0.4166666666666667,0.7916666666666667,0.8854166666666666,4,2,2,6,EXTENDED,5,55,2,44,14
0.9285714285714286,0.9375,1.0,0.875,1.0,0.9333333333333333,0.8660254037844387,1.0,1.0,6,0,1,7,EXTENDED,5,55,3,44,14
